id,subject,topic,question,optionA,optionB,optionC,optionD,answerIndex,explanation,source,examTags,pyqVerified,highYield,status
ZM-00001,Anatomy,Upper Limb,The nerve most commonly injured in a mid-shaft fracture of the humerus is:,Median nerve,Radial nerve,Ulnar nerve,Axillary nerve,1,Radial nerve runs in the radial groove on the posterior humerus and is vulnerable in mid-shaft fractures.,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,VERIFIED_STARTER
ZM-00002,Anatomy,Upper Limb,The nerve supplying the deltoid muscle is:,Axillary nerve,Musculocutaneous nerve,Radial nerve,Suprascapular nerve,0,The axillary nerve supplies deltoid and teres minor and winds around the surgical neck of the humerus.,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,VERIFIED_STARTER
ZM-00003,Anatomy,Upper Limb,A lesion of the median nerve at the wrist most characteristically affects:,Thenar function and thumb opposition,Elbow extension,Finger abduction,Shoulder abduction,0,The recurrent branch of the median nerve supplies thenar muscles responsible for thumb opposition.,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,VERIFIED_STARTER
ZM-00004,Anatomy,Upper Limb,[QUESTION SLOT 4] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00005,Anatomy,Upper Limb,[QUESTION SLOT 5] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00006,Anatomy,Upper Limb,[QUESTION SLOT 6] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00007,Anatomy,Upper Limb,[QUESTION SLOT 7] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00008,Anatomy,Upper Limb,[QUESTION SLOT 8] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00009,Anatomy,Upper Limb,[QUESTION SLOT 9] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00010,Anatomy,Upper Limb,[QUESTION SLOT 10] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00011,Anatomy,Upper Limb,[QUESTION SLOT 11] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00012,Anatomy,Upper Limb,[QUESTION SLOT 12] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
ZM-00013,Anatomy,Upper Limb,[QUESTION SLOT 13] Add a verified Anatomy question from the topic: Upper Limb.,Option A,Option B,Option C,Option D,,,ORIGINAL,NEET-PG;FMGE;USMLE,False,False,NEEDS_CONTENT
